Temparature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name
25,52,55,Black,Sugarcane,5,2,11,10-26-26
31,52,26,Black,Ground Nuts,24,19,38,14-35-14
29,66,25,Sandy,Paddy,7,3,1,DAP
31,53,51,Red,Oil seeds,29,2,5,10-26-26
31,60,34,Clayey,Maize,38,11,34,20-20
30,68,59,Loamy,Millets,24,0,34,10-26-26
36,61,62,Sandy,Pulses,5,10,36,DAP
27,53,56,Red,Tobacco,14,7,17,28-28
37,53,27,Sandy,Ground Nuts,24,7,14,14-35-14
26,60,41,Sandy,Paddy,19,17,23,10-26-26
36,71,63,Loamy,Ground Nuts,30,15,31,DAP
36,57,28,Red,Millets,8,3,2,28-28
28,71,33,Red,Wheat,41,7,20,Urea
28,53,50,Red,Cotton,21,11,21,28-28
38,60,47,Sandy,Paddy,16,16,41,20-20
29,57,63,Clayey,Cotton,41,17,39,28-28
34,52,45,Red,Sugarcane,28,10,26,DAP
34,52,48,Sandy,Millets,31,18,38,28-28
33,52,38,Sandy,Pulses,20,15,20,DAP
38,68,65,Red,Cotton,7,11,40,28-28
33,53,60,Loamy,Barley,37,8,24,20-20
26,68,43,Loamy,Millets,33,8,11,10-26-26
32,54,29,Loamy,Oil seeds,33,16,9,10-26-26
36,59,41,Clayey,Maize,29,16,30,28-28
26,63,61,Loamy,Millets,30,17,22,28-28
29,60,49,Loamy,Ground Nuts,36,13,10,DAP
36,70,37,Black,Ground Nuts,9,11,40,10-26-26
27,57,60,Loamy,Cotton,5,1,40,28-28
33,70,25,Red,Sugarcane,25,17,40,10-26-26
27,56,47,Red,Tobacco,41,4,9,20-20
33,64,39,Clayey,Ground Nuts,30,3,42,28-28
29,58,30,Sandy,Ground Nuts,27,16,25,10-26-26
30,65,30,Clayey,Tobacco,28,6,33,20-20
29,70,45,Loamy,Pulses,34,13,22,17-17-17
35,55,50,Black,Tobacco,42,12,8,17-17-17
38,65,33,Clayey,Millets,21,19,32,Urea
35,66,47,Loamy,Barley,10,0,4,DAP
31,56,64,Black,Maize,31,7,22,Urea
36,56,52,Black,Pulses,21,18,1,28-28
25,67,65,Red,Millets,39,7,24,28-28
31,71,51,Clayey,Paddy,17,15,1,20-20
30,62,64,Black,Wheat,10,13,33,17-17-17
25,60,27,Loamy,Oil seeds,25,16,16,20-20
35,65,65,Red,Sugarcane,42,14,3,DAP
28,61,37,Black,Cotton,16,5,17,28-28
25,66,60,Sandy,Oil seeds,22,17,6,17-17-17
29,62,30,Black,Pulses,32,14,8,28-28
26,52,38,Loamy,Wheat,30,17,17,10-26-26
31,66,58,Clayey,Pulses,33,5,18,14-35-14
37,60,26,Sandy,Cotton,24,16,10,17-17-17
33,52,64,Loamy,Paddy,9,3,39,28-28
27,52,53,Sandy,Millets,14,13,25,20-20
31,58,28,Red,Ground Nuts,7,18,8,20-20
36,67,37,Red,Wheat,18,12,35,28-28
29,64,29,Black,Tobacco,11,13,20,Urea
35,55,62,Loamy,Cotton,6,0,28,10-26-26
37,71,56,Sandy,Maize,5,0,14,17-17-17
27,53,51,Clayey,Millets,15,8,19,10-26-26
31,62,37,Loamy,Cotton,42,16,29,10-26-26
37,68,43,Red,Ground Nuts,34,19,22,14-35-14
27,51,44,Black,Oil seeds,13,8,4,14-35-14
38,54,49,Red,Ground Nuts,14,0,16,Urea
38,67,60,Black,Barley,38,16,19,DAP
